epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.947585887,0.878751594,0.009599607,0,0,0,0,0.033648636,0,0,0,0,0,0,0,0,0,0,0,0,0.272847014,0,0,0,0,0,0,0,0,0.00069176,0,0,0,0,0
2,0.796365553,0.743180227,0.019843163,0,0,0,0,0.226274856,0.000181235,0,0,0,0,0,0,0,0,0,0,0,0.338063884,0,0,0,2.02E-05,0,0,0,0,0.070441027,0,0,0,0,0
3,0.73607379,0.675557017,0.030339995,0,0,0,0,0.223165224,3.87E-05,0,0,0,0.002045219,0,0,0,0,0,0,0,0.402722949,0,0,0,0.004426942,0,0,0,0,0.338480769,0,0,0,0,0
4,0.640856097,0.560963142,0.039025272,0,0,0,0,0.290874191,0,0,0,0,0,0,0,0,0,0,0,0,0.447574792,0,0,0,0.004409392,0,0,0,0,0.505950325,0,0,0,0,0
5,0.547749652,0.54454692,0.040309359,0,0,0,0,0.324387621,0,0,0,0,0,0,0,0,0,0,0,0,0.462748442,0,0,0,0.000505009,0,0,0,0,0.502258413,0,0,0,0,0
6,0.56235784,0.491209033,0.06433607,0,0,0,0,0.22958341,0,0,0,0,0,0,0,0,0,0,0,0,0.492823455,0,0,0,0.776695275,0,0,0,0,0.559652115,0,0,0,0,0
7,0.512423758,0.527777153,0.068169432,0,0,0,0,0.310247718,0,0,0,0,0,0,0,0,0,0,0,0,0.558976737,0,0,0,0.793765899,0,0,0,0,0.518431468,0,0,0,0,0
8,0.779598316,0.615125561,0.033219868,0,0,0,0,0.205676414,0,0,0,0,0,0,0,0,0,0,0,0,0.468998957,0,0,0,1.98E-05,0,0,0,0,0.388340622,0,0,0,0,0
9,0.546773819,0.498632696,0.064787978,0,0,0,0,0.226952344,0,0,0,0,0,0,0,0,0,0,0,0,0.480231963,0,0,0,0.832660176,0,0,0,0,0.533370826,0,0,0,0,0
10,0.487907994,0.483038124,0.068240852,0,0,0,0,0.27137619,0,0,0,0,0,0,0,0,0,0,0,0,0.496844089,0,0,0,0.851800714,0,0,0,0,0.563686256,0,0,0,0,0
11,0.47567046,0.470608714,0.069896846,0,0,0,0,0.283784413,0,0,0,0,0,0,0,0,0,0,0,0,0.499445685,0,0,0,0.852677554,0,0,0,0,0.600791418,0,0,0,0,0
12,0.462323304,0.476218477,0.071917283,0,0,0,0,0.322312959,0,0,0,0,0,0,0,0,0,0,0,0,0.528973922,0,0,0,0.868177687,0,0,0,0,0.581888497,0,0,0,0,0
13,0.449349068,0.439995891,0.072366847,0,0,0,0,0.338008914,0,0,0,0,0,0,0,0,0,0,0,0,0.528552842,0,0,0,0.780805296,0,0,0,0,0.668372043,0,0,0,0,0
14,0.42806364,0.42086463,0.076133354,0,0,0,0,0.379343135,0,0,0,0,0,0,0,0,0,0,0,0,0.55220132,0,0,0,0.807771418,0,0,0,0,0.696951468,0,0,0,0,0
15,0.415110326,0.411642814,0.077271939,0,0,0,0,0.38852276,0,0,0,0,0,0,0,0,0,0,0,0,0.557146738,0,0,0,0.849220486,0,0,0,0,0.67781206,0,0,0,0,0
16,0.405299153,0.403558323,0.079405352,0,0,0,0,0.421291249,0,0,0,0,0,0,0,0,0,0,0,0,0.578215156,0,0,0,0.830515771,0,0,0,0,0.710949092,0,0,0,0,0
17,0.395292218,0.395848498,0.081436587,0,0,0,0,0.440772043,0,0,0,0,0,0,0,0,0,0,0,0,0.59307596,0,0,0,0.880777147,0,0,0,0,0.691345644,0,0,0,0,0
18,0.391179173,0.390542522,0.080903546,0,0,0,0,0.438662388,0,0,0,0,0,0,0,0,0,0,0,0,0.599117626,0,0,0,0.872479963,0,0,0,0,0.67865349,0,0,0,0,0
19,0.383220886,0.395913583,0.081450024,0,0,0,0,0.449227361,0,0,0,0,0,0,0,0,0,0,0,0,0.580738604,0,0,0,0.873797477,0,0,0,0,0.702637343,0,0,0,0,0
20,0.374283826,0.373546821,0.083858686,0,0,0,0,0.478319068,0,0,0,0,0,0,0,0,0,0,0,0,0.593212109,0,0,0,0.843198483,0,0,0,0,0.768748305,0,0,0,0,0
21,0.367904196,0.370080656,0.083206074,0,0,0,0,0.470615177,0,0,0,0,0,0,0,0,0,0,0,0,0.609280514,0,0,0,0.882042241,0,0,0,0,0.700656443,0,0,0,0,0
22,0.362395679,0.371285123,0.083044668,0,0,0,0,0.480517089,0,0,0,0,0,0,0,0,0,0,0,0,0.584852375,0,0,0,0.84067252,0,0,0,0,0.751387389,0,0,0,0,0
23,0.365401184,0.361057118,0.081250915,0,0,0,0,0.472086411,0,0,0,0,0,0,0,0,0,0,0,0,0.617985847,0,1.04E-05,0,0.843565305,0,0,0,0,0.666381347,0,0,0,0,0
24,0.348891307,0.351121259,0.084804,0,0,0,0,0.477056658,0,0,0,0,0,0,0,0,0,0,0,0,0.638280444,0,0.047307444,0,0.883803957,0,0,0,0,0.667279497,0,0,0,0,0
25,0.34405135,0.343716395,0.089597696,0,0,0,0,0.515455887,0,0,0,0,0,0,0,0,0,0,0,0,0.639928039,0,0.020183885,0,0.896136136,0,0,0,0,0.795422319,0,0,0,0,0
26,0.33841665,0.337145621,0.095480338,0,0,0,0,0.518693524,0,0,0,0,0,0,0,0,0,0,0,0,0.667955351,0,0.214763343,0,0.86408709,0,0,0,0,0.78987152,0,0,0,0,0
27,0.332109896,0.329672164,0.092091984,0,0,0,0,0.528045951,0,0,0,0,0,0,0,0,0,0,0,0,0.63905562,0,0.113263262,0,0.883442328,0,0,0,0,0.783136322,0,0,0,0,0
28,0.326405095,0.327629712,0.097063937,0,0,0,0,0.51279615,0,0,0,0,0,0,0,0,0,0,0,0,0.681072443,0,0.260378438,0,0.905299876,0,0,0,0,0.746499074,0,0,0,0,0
29,0.320342205,0.327655986,0.097163107,0,0,0,0,0.514428383,0,0,0,0,0,0,0,0,0,0,0,0,0.700176016,0,0.275662995,0,0.883735941,0,0,0,0,0.735216084,0,0,0,0,0
30,0.319639061,0.31245251,0.09716796,0,0,0,0,0.547849216,0,0,0,0,0,0,0,0,0,0,0,0,0.666376781,0,0.189731982,0,0.89294598,0,0,0,0,0.812470748,0,0,0,0,0
