Animal,Archway,Bicyclist,Bridge,Building,Car,CartLuggagePram,Child,Column_Pole,Fence,LaneMkgsDriv,LaneMkgsNonDriv,Misc_Text,MotorcycleScooter,OtherMoving,ParkingBlock
0,3.552,0.1029,0,0.0343,0.1416,2.279,0.7982,0.5488,0.1115,0.4028,0.045,0.5199,0,0.3752,0
0,0.001,0.02,0,0.25,0.017,0.001,0.001,0.01,0.03,0.001,0.02,0.005,0,0.01,0
0,0.003552,0.002058,0,0.008575,0.0024072,0.002279,0.0007982,0.005488,0.003345,0.0004028,0.0009,0.0025995,0,0.003752,0
#DIV/0!,1000,50,#DIV/0!,4,58.82352941,1000,1000,100,33.33333333,1000,50,200,#DIV/0!,100,#DIV/0!
#DIV/0!,1,1,#DIV/0!,1,1,1,1,1,1,1,1,1,#DIV/0!,1,#DIV/0!
Road,RoadShoulder,Sidewalk,SignSymbol,Sky,SUVPickupTruck,TrafficCone,TrafficLight,Train,Tree,Truck_Bus,Tunnel,VegetationMisc,Void,Wall,Pedestrian
0.0396,0,0.0727,0.8038,0.0583,0,0,0.1781,0,0.0508,0.2478,0,0.5103,1.358,0.2412,0.3066
0.27,0,0.09,0.001,0.09,0,0,0.01,0,0.16,0.005,0,0.001,0.013,0.017,0.01
0.010692,0,0.006543,0.0008038,0.005247,0,0,0.001781,0,0.008128,0.001239,0,0.0005103,0.017654,0.0041004,0.003066
3.703703704,#DIV/0!,11.11111111,1000,11.11111111,#DIV/0!,#DIV/0!,100,#DIV/0!,6.25,200,#DIV/0!,1000,76.92307692,58.82352941,100
1,#DIV/0!,1,1,1,#DIV/0!,#DIV/0!,1,#DIV/0!,1,1,#DIV/0!,1,1,1,1
