cases,Road(0.27),Building(0.25),Tree(0.16),Sky(0.09),Sidewalk(0.09),Fence(0.03),Bicyclist(0.02),LaneMkgsDriv(0.02),Car(0.01),Wall(0.01),Void(0.01),OtherMoving(0.01),Pedestrian(0.01),TrafficLight(0.01),Column_Pole(0.01),Truck_Bus,Misc_Text,VegetationMisc,Child
cefilter_1.0.csv,0.9343,0.9357,0.9312,0.9412,0.8616,0.8395,0.8341,0.6475,0.5265,0.7161,0.2782,0.5629,0.6279,0.7276,0.2547,0.6154,0.2641,0,0
cefilter_0.5.csv,0.9404,0.9397,0.9283,0.9388,0.8806,0.8332,0.8387,0.6477,0.5166,0.7221,0.2831,0.58,0.6819,0.6914,0.2787,0.6215,0.1905,0,0
cefilter_0.28.csv,0.9424,0.9322,0.9307,0.9412,0.8827,0.819,0.8346,0.6522,0.5243,0.7293,0.2649,0.5519,0.6511,0.6537,0.1794,0.6058,0.0086,0.0677,0
cefilter_0.26.csv,0,0.934,0.9264,0.9428,0.3088,0.8362,0.7129,0.219,0.4879,0.5668,0.2442,0.5482,0.6154,0.7014,0.0019,0.5529,0,0.0009,0
cefilter_0.17.csv,0,0,0.8845,0.8869,0.2169,0.8114,0.5725,0.1952,0.3485,0.2857,0.285,0.5219,0.3148,0.2029,0.0662,0.5223,0,0.028,0
cefilter_0.1.csv,0.0037,0,0,0.7776,0.1844,0.6317,0.6146,0.2017,0.2976,0.2311,0.2763,0.4214,0.2836,0.078,0.0457,0.5088,0.0002,0.0044,0
cefilter_0.05.csv,0.1838,0,0,0,0.0045,0.5012,0.3718,0.1636,0.2495,0.2891,0.209,0.4666,0.2397,0.025,0.0351,0.1928,0.0404,0.0387,0.2704
cefilter_0.03.csv,0.1598,0,0,0,0.0139,0,0.3605,0.1631,0.2553,0.2778,0.2252,0.4318,0.2119,0.041,0.0341,0.2699,0.0252,0.0321,0.3189
cefilter_0.02.csv,0.0949,0,0.0001,0,0.076,0,0.0009,0.1434,0.2266,0.2517,0.1731,0.3806,0.1914,0.0524,0.0612,0.2207,0.0452,0.0406,0.2162
cefilter_0.01.csv,0.012,0.0011,0.0216,0,0.1211,0,0.0099,0,0.0003,0,0.1682,0.1681,0.1074,0.0866,0.0515,0.13593,0.0851,0.015,0.0946
cefilter_0.csv,0.2243,0.0016,0.0061,0,0.119,0.0019,0.0607,0.000966368,0.00442643,0,0,0.0013,0.0019,0.0046,0.0043,0.0069,0.0031,0.0008,0.0001
